FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 10 063,Característica de la tendencia barométrica,0,"Subiendo, después bajando; la presión atmosférica es la misma o más alta que 3 horas antes",,,,,
0 10 063,Característica de la tendencia barométrica,1,"Subiendo, después estacionaria; o subiendo y después aumentando más lentamente",,,,,
0 10 063,Característica de la tendencia barométrica,2,Subiendo (regular o irregularmente),,,,,
0 10 063,Característica de la tendencia barométrica,3,"Bajando o estacionaria, después subiendo; o subiendo y después subiendo más rápidamente",,,,,
0 10 063,Característica de la tendencia barométrica,4,Estacionaria; la presión atmosférica es la misma que tres horas antes,,,,,
0 10 063,Característica de la tendencia barométrica,5,"Bajando, después subiendo; la presión atmosférica es la misma o más baja que tres horas antes",,,,,
0 10 063,Característica de la tendencia barométrica,6,"Bajando, después estacionaria; o bajando y después bajando más lentamente",,,,,
0 10 063,Característica de la tendencia barométrica,7,Bajando (regular o irregularmente),,,,,
0 10 063,Característica de la tendencia barométrica,8,Estacionaria o subiendo y después bajando; o bajando y después bajando más rápidamente,,,,,
0 10 063,Característica de la tendencia barométrica,9-14,Reservadas,,,,,
0 10 063,Característica de la tendencia barométrica,15,Valor faltante,,,,,
0 10 064,Nivel de crucero SIGMET,0,Subsónico,,,,,
0 10 064,Nivel de crucero SIGMET,1,Transónico,,,,,
0 10 064,Nivel de crucero SIGMET,2,Supersónico,,,,,
0 10 064,Nivel de crucero SIGMET,3-6,Reservadas,,,,,
0 10 064,Nivel de crucero SIGMET,7,Valor faltante,,,,,
